rel_id,name,admin_level,lat,lon,noise_db_centroid
15048390,North Hills East,10,34.2326161,-118.4625011,47.76
15048391,North Hills West,10,34.2351485,-118.4857186,53.78
15059477,Panorama City,10,34.2286517,-118.4451755,0.0
15059478,Mission Hills,10,34.2713002,-118.4529373,0.0
15059522,Sylmar,10,34.3083124,-118.4514186,46.81
15339539,Van Nuys,10,34.1907345,-118.4505332,50.31
15339540,Lake Balboa,10,34.1912118,-118.4931452,59.58
15339541,Reseda,10,34.2037901,-118.5404374,0.0
15339542,Northridge South,10,34.2221591,-118.5336501,0.0
15339543,Northridge East,10,34.2568239,-118.5105726,0.0
15339544,Granada Hills South,10,34.2641803,-118.5007291,54.32
15339545,Northridge West,10,34.2535248,-118.5501567,0.0
15339546,Granada Hills North,10,34.3006103,-118.5073097,0.0
15899803,Arleta,10,34.243174,-118.429436,0.0
15899804,Pacoima,10,34.2663229,-118.4065859,61.71
16741092,West Hills,10,34.2096098,-118.6354439,56.72
17307354,Los Feliz,10,34.1286081,-118.2985312,0.0
18194737,Sherman Oaks,10,34.1492572,-118.4446675,65.41
18284559,Encino,10,34.1564268,-118.5046272,51.01
18284560,Tarzana,10,34.1562105,-118.5490233,0.0
18284570,Chatsworth,10,34.2571339,-118.6048777,0.0
18284571,Porter Ranch,10,34.2878806,-118.5592008,0.0
18302562,Winnetka,10,34.2106154,-118.5754189,46.54
18302563,Canoga Park,10,34.2146219,-118.6015988,52.74
18302564,Woodland Hills-Warner Center,10,34.163131,-118.614793,58.85
18303949,Greater Valley Glen,10,34.1866407,-118.4144391,49.19
18303950,North Hollywood West,10,34.2041704,-118.4135017,0.0
18303951,North Hollywood Northeast,10,34.2036986,-118.3829272,45.29
18303952,North Hollywood,10,34.1694729,-118.3786499,51.12
18303953,Valley Village,10,34.163285,-118.3956874,48.1
18303954,Greater Toluca Lake,10,34.154927,-118.3622738,52.46
18303955,Studio City,10,34.137897,-118.3910959,51.58
