rel_id,display_name,lat,lon,median_income,median_age,population,median_rent,median_home_value,owner_share,renter_share,single_family_pct,small_multi_pct,large_multi_pct,crime_count,crime_rate_per_1000,noise_db_centroid,nightlife_places,num_cafes,num_bars,num_pubs,restaurants_count,culture_count,gyms_count,shops_count,pt_stops_count,bike_infra_count,walkability_features_count,major_roads_count,parks_count
15048390,North Hills East,34.2326161,-118.4625011,81719.0,35.8,61607,1796.0,751000.0,49.32049518569463,50.67950481430537,56.85246942988724,4.388333068657032,38.07633264517495,1828,29.671952862499392,47.76,5,5,0,0,40,0,1,147,59,61,1137,198,3
15048391,North Hills West,34.2351485,-118.4857186,81719.0,35.8,61607,1796.0,751000.0,49.32049518569463,50.67950481430537,56.85246942988724,4.388333068657032,38.07633264517495,704,11.427272874835653,53.78,3,1,2,0,11,0,0,21,46,21,486,108,1
15059477,Panorama City,34.2286517,-118.4451755,56369.0,35.1,66710,1607.0,586500.0,34.36739961284558,65.63260038715441,37.35537190082645,5.63441905687895,56.90811861934857,1567,23.489731674411633,0.0,4,4,0,0,33,0,2,49,71,62,550,156,3
15059478,Mission Hills,34.2713002,-118.4529373,96345.0,42.3,18282,1846.0,654100.0,72.49043541628713,27.50956458371288,76.5691114245416,2.080394922425952,13.34626234132581,395,21.605951208839294,0.0,3,2,1,0,8,0,0,18,45,37,756,211,3
15059522,Sylmar,34.3083124,-118.4514186,95480.0,37.4,93513,1965.0,641100.0,67.73656020630827,32.26343979369173,72.52963678369882,3.707911979699277,16.161042305798585,564,6.031246992396779,46.81,4,4,0,0,9,1,0,3,41,37,151,75,2
15339539,Van Nuys,34.1907345,-118.4505332,61207.0,35.3,54887,1736.0,698100.0,26.79735071039419,73.20264928960582,30.178589446070024,11.275350620522651,57.6783372010897,1712,31.19135678758176,50.31,11,10,1,0,30,0,1,43,101,26,718,155,3
15339540,Lake Balboa,34.1912118,-118.4931452,76653.0,37.0,52661,1859.0,765000.0,39.41735407747729,60.58264592252272,45.15012722646311,9.19083969465649,44.19338422391858,679,12.893792370065134,59.58,2,2,0,0,11,1,1,13,73,73,659,140,2
15339541,Reseda,34.2037901,-118.5404374,77164.0,39.4,74802,1811.0,700400.0,50.70149376908476,49.29850623091525,60.23423775131759,4.965840327932852,34.16747999219207,1110,14.839175423117029,0.0,8,6,2,0,48,0,0,37,69,61,624,136,3
15339542,Northridge South,34.2221591,-118.5336501,92602.0,38.8,35116,1924.0,900200.0,45.791324736225086,54.20867526377491,51.28036289142523,4.097161252560726,44.2859233245537,782,22.26905114477731,0.0,10,10,0,0,25,0,0,39,51,67,566,98,0
15339543,Northridge East,34.2568239,-118.5105726,92602.0,38.8,35116,1924.0,900200.0,45.791324736225086,54.20867526377491,51.28036289142523,4.097161252560726,44.2859233245537,693,19.734593917302657,0.0,4,4,0,0,17,1,1,12,48,71,524,87,1
15339544,Granada Hills South,34.2641803,-118.5007291,116647.0,43.5,53248,2276.0,872000.0,72.08281759873974,27.917182401260263,84.53104646113765,3.0449413808076424,12.0223621363439,826,15.512319711538462,54.32,6,5,1,0,14,1,2,25,38,47,226,100,1
15339545,Northridge West,34.2535248,-118.5501567,99834.0,38.7,29510,2286.0,869200.0,48.492101483963616,51.50789851603638,54.47931276297335,3.4098877980364657,40.55049088359046,811,27.482209420535412,0.0,9,8,1,0,8,0,1,4,41,117,621,87,2
15339546,Granada Hills North,34.3006103,-118.5073097,116647.0,43.5,53248,2276.0,872000.0,72.08281759873974,27.917182401260263,84.53104646113765,3.0449413808076424,12.0223621363439,132,2.478966346153846,0.0,0,0,0,0,1,0,0,0,10,11,142,20,3
15899803,Arleta,34.243174,-118.429436,82025.0,34.7,98820,1818.0,609300.0,62.83642993575273,37.16357006424727,78.05734347571679,5.579704087603444,14.390203126306112,872,8.824124671119206,0.0,0,0,0,0,3,0,0,7,56,31,171,153,1
15899804,Pacoima,34.2663229,-118.4065859,82025.0,34.7,98820,1818.0,609300.0,62.83642993575273,37.16357006424727,78.05734347571679,5.579704087603444,14.390203126306112,689,6.9722728192673555,61.71,1,1,0,0,11,1,2,6,54,81,94,104,3
16741092,West Hills,34.2096098,-118.6354439,82289.0,40.9,53794,1927.0,847600.0,51.233055691654414,48.76694430834559,53.23973509933775,4.042384105960265,37.94966887417219,180,3.346098077852549,56.72,2,2,0,0,2,0,0,1,28,90,713,38,4
17307354,Los Feliz,34.1286081,-118.2985312,90532.0,38.2,46049,1904.0,1747200.0,20.30272359219728,79.69727640780272,27.057320641199983,22.322495570115795,50.62018378868422,130,2.8230797628613,0.0,25,17,6,2,2,4,0,2,6,1,323,0,3
18194737,Sherman Oaks,34.1492572,-118.4446675,112119.0,40.8,32536,2239.0,1323500.0,37.460420032310175,62.53957996768982,36.09545509053844,11.859935244034055,51.94867490106727,1116,34.30046717482173,65.41,9,7,2,0,47,1,1,49,41,83,410,131,2
18284559,Encino,34.1564268,-118.5046272,90802.0,44.9,29246,2104.0,909700.0,50.18642224638808,49.81357775361193,44.05234524334657,2.271724746360829,53.49213350977797,507,17.33570402790125,51.01,5,5,0,0,41,2,0,15,27,1,215,79,6
18284560,Tarzana,34.1562105,-118.5490233,110094.0,43.3,30809,2027.0,1177200.0,57.540106951871664,42.45989304812834,56.79905623279591,4.561541486433347,38.63940228077074,202,6.556525690544971,0.0,12,8,4,0,0,0,0,0,0,9,159,0,0
18284570,Chatsworth,34.2571339,-118.6048777,117574.0,42.3,40557,2199.0,837300.0,66.79869362796192,33.20130637203808,69.2250823308018,4.812151354257678,22.25956045433161,471,11.613285006287446,0.0,10,5,4,1,33,2,1,22,37,46,393,80,3
18284571,Porter Ranch,34.2878806,-118.5592008,148636.0,43.8,37068,2995.0,1011100.0,76.15848007414272,23.841519925857277,87.1689831748354,0.4681784930504755,12.36283833211412,237,6.393654904499838,0.0,3,3,0,0,0,0,1,0,0,68,170,15,5
18302562,Winnetka,34.2106154,-118.5754189,88958.0,38.1,48177,1909.0,719900.0,56.60338844662176,43.39661155337824,66.28887717448603,2.7082235108065364,30.245123879810222,782,16.231811860431325,46.54,5,4,1,0,8,0,0,5,55,43,478,88,1
18302563,Canoga Park,34.2146219,-118.6015988,82289.0,40.9,53794,1927.0,847600.0,51.233055691654414,48.76694430834559,53.23973509933775,4.042384105960265,37.94966887417219,832,15.466408893185113,52.74,12,8,3,1,8,0,0,17,54,28,426,103,2
18302564,Woodland Hills-Warner Center,34.163131,-118.614793,134534.0,43.0,28662,2847.0,1162000.0,69.02828065368432,30.971719346315684,75.96863889142128,2.5799981766797337,20.074756130914395,466,16.258460679645523,58.85,29,23,3,3,63,0,4,165,38,42,514,79,1
18303949,Greater Valley Glen,34.1866407,-118.4144391,66884.0,37.8,43202,1744.0,801300.0,33.42100198858169,66.5789980114183,40.46972166877981,21.81971865000302,37.022278572722335,906,20.9712513309569,49.19,5,3,2,0,19,1,8,29,51,38,688,66,9
18303950,North Hollywood West,34.2041704,-118.4135017,64539.0,36.3,52086,1736.0,729900.0,37.47444079558833,62.52555920441167,46.07694990119725,17.273044286876672,35.5108683017552,935,17.95108090465768,0.0,1,1,0,0,13,0,1,18,50,19,238,66,5
18303951,North Hollywood Northeast,34.2036986,-118.3829272,64539.0,36.3,52086,1736.0,729900.0,37.47444079558833,62.52555920441167,46.07694990119725,17.273044286876672,35.5108683017552,1257,24.13316438198364,45.29,0,0,0,0,10,0,0,17,66,122,164,123,0
18303952,North Hollywood,34.1694729,-118.3786499,77540.0,34.1,37033,2115.0,961700.0,16.036728592782403,83.9632714072176,22.48892351136861,19.88412288816398,57.10599347582648,2388,64.48302865012288,51.12,17,10,6,1,48,7,6,28,66,134,691,157,3
18303953,Valley Village,34.163285,-118.3956874,84925.0,38.2,30918,1998.0,1019300.0,30.5764950822026,69.4235049177974,32.12988970336371,15.989586901418098,51.55853942590943,972,31.43799728313604,48.1,2,2,0,0,14,0,0,19,56,175,835,159,3
18303954,Greater Toluca Lake,34.154927,-118.3622738,97994.0,39.0,19760,2186.0,1104400.0,31.955484896661368,68.04451510333863,27.356130108423688,15.985543508479289,56.24131220461496,1396,70.64777327935224,52.46,6,4,1,1,36,3,1,37,46,96,632,142,2
18303955,Studio City,34.137897,-118.3910959,141317.0,41.0,32118,2471.0,1698900.0,44.70635775862069,55.29364224137932,43.59748427672956,13.062893081761008,43.0377358490566,603,18.774518961330095,51.58,15,11,4,0,32,0,1,19,45,35,272,66,5
