id,name,display_name,lat,lon,parks_count,parks_examples
15048390,North Hills East Neighborhood Council District,North Hills East,34.2326161,-118.4625011,3,SEPULVEDA RECREATION CENTER | NORTH HILLS COMMUNITY PARK | TOBIAS AVENUE PARK
15048391,North Hills West Neighborhood Council District,North Hills West,34.2351485,-118.4857186,1,NORDHOFF PARK
15059477,Panorama City Neighborhood Council District,Panorama City,34.2286517,-118.4451755,3,SEPULVEDA RECREATION CENTER | PANORAMA CITY RECREATION CENTER | TOBIAS AVENUE PARK
15059478,Mission Hills Neighborhood Council District,Mission Hills,34.2713002,-118.4529373,3,ANDRES PICO ADOBE | BRAND PARK | FOX AND LAUREL PARK
15059522,Sylmar Neighborhood Council District,Sylmar,34.3083124,-118.4514186,2,SYLMAR PARK | NORTH SAN FERNANDO PARK
15339539,Van Nuys Neighborhood Council District,Van Nuys,34.1907345,-118.4505332,3,DELANO PARK | VAN NUYS MULTIPURPOSE CENTER | VAN NUYS RECREATION CENTER
15339540,Lake Balboa Neighborhood Council District,Lake Balboa,34.1912118,-118.4931452,2,WOODLEY LAKES GOLF COURSE | ANTHONY C BEILENSON PARK
15339541,Reseda,Reseda,34.2037901,-118.5404374,3,LAPD SWAT OFFICER RANDAL D SIMMONS PARK (FORMERLY WEST VALLEY PARK) | ALISO CREEK CONFLUENCE PARK | RESEDA SKATE FACILITY
15339542,Northridge South Neighborhood Council District,Northridge South,34.2221591,-118.5336501,0,
15339543,Northridge East Neighborhood Council District,Northridge East,34.2568239,-118.5105726,1,GRANADA HILLS PARK
15339544,Granada Hills South Neighborhood Council District,Granada Hills South,34.2641803,-118.5007291,1,GRANADA HILLS PARK
15339545,Northridge West Neighborhood Council District,Northridge West,34.2535248,-118.5501567,2,PORTER RANCH PARK | OAKRIDGE RESIDENCE
15339546,Granada Hills North Neighborhood Council District,Granada Hills North,34.3006103,-118.5073097,3,O'MELVENY PARK | BEE CANYON PARK | GRANADA HILLS YOUTH RECREATION CENTER
15899803,Arleta Neighborhood Council District,Arleta,34.243174,-118.429436,1,BRANFORD PARK
15899804,Pacoima Neighborhood Council,Pacoima,34.2663229,-118.4065859,3,DAVID M GONZALES RECREATION CENTER | NORTH EAST VALLEY MULTIPURPOSE CENTER | ROGER W JESSUP PARK
16741092,West Hills Neighborhood Council District,West Hills,34.2096098,-118.6354439,4,LAZY J RANCH PARK | COHASSET-MELBA PARK | ORCUTT RANCH HORTICULTURAL CENTER | TAXCO TRAILS PARK
17307354,Los Feliz Neighborhood Council District,Los Feliz,34.1286081,-118.2985312,3,ROOSEVELT GOLF COURSE | GRIFFITH PARK | GRIFFITH PARK: BOYS CAMP
18194737,Sherman Oaks Neighborhood Council District,Sherman Oaks,34.1492572,-118.4446675,2,VAN NUYS - SHERMAN OAKS PARK | DEERVALE - STONE CANYON PARK
18284559,Encino Neighborhood Council District,Encino,34.1564268,-118.5046272,6,ENCINO COMMUNITY CENTER | ENCINO PARK | ENCINO PARK AND RIDE | SEPULVEDA GARDEN CENTER | ENCINO WOMEN'S CLUB
18284560,Tarzana Neighborhood Council District,Tarzana,34.1562105,-118.5490233,0,
18284570,Chatsworth Neighborhood Council District,Chatsworth,34.2571339,-118.6048777,3,"CHATSWORTH PARK, NORTH | MINNIE HILL PALMER HOUSE / HOMESTEAD ACRE | CHATSWORTH PARK, SOUTH"
18284571,Porter Ranch Neighborhood Council District,Porter Ranch,34.2878806,-118.5592008,5,PALISADES PARK (PORTER RANCH) | WILBUR-TAMPA PARK | HOLLEIGH BERNSON MEMORIAL PARK | MOONSHINE CANYON PARK | LIMEKILN CANYON PARK
18302562,Winnetka Neighborhood Council District,Winnetka,34.2106154,-118.5754189,1,RUNNYMEDE PARK
18302563,Canoga Park Neighborhood Council District,Canoga Park,34.2146219,-118.6015988,2,CANOGA PARK SENIOR CITIZEN CENTER | LANARK RECREATION CENTER
18302564,Woodland Hills-Warner Center Neighborhood Council District,Woodland Hills-Warner Center,34.163131,-118.614793,1,WOODLAND HILLS RECREATION CENTER
18303949,Greater Valley Glen Neighborhood Council District,Greater Valley Glen,34.1866407,-118.4144391,9,TUJUNGA GREENBELT & PEDESTRIAN BRIDGE | VALLEY PLAZA PARK | KITTRIDGE MINI-PARK | VALLEY GLEN COMMUNITY PARK | LAUREL GROVE PARK
18303950,North Hollywood West Neighborhood Council District,North Hollywood West,34.2041704,-118.4135017,5,"STRATHERN PARK, WEST | WHITSETT SPORTS FIELDS | JAIME BETH SLAVIN PARK | BELLAIRE AVENUE PARK | FULTON AVENUE PARK"
18303951,North Hollywood Northeast Neighborhood Council District,North Hollywood Northeast,34.2036986,-118.3829272,0,
18303952,North Hollywood Neighborhood Council District,North Hollywood,34.1694729,-118.3786499,3,TIARA STREET SITE | NORTH HOLLYWOOD PARK | VALLEY VILLAGE PARK
18303953,Valley Village Neighborhood Council District,Valley Village,34.163285,-118.3956874,3,MOORPARK PARK | NORTH HOLLYWOOD PARK | VALLEY VILLAGE PARK
18303954,Greater Toluca Lake Neighborhood Council District,Greater Toluca Lake,34.154927,-118.3622738,2,"WEDDINGTON PARK, NORTH | WOODBRIDGE PARK"
18303955,Studio City Neighborhood Council District,Studio City,34.137897,-118.3910959,5,COLDWATER CANYON PARK | MOORPARK PARK | WILACRE PARK | LAUREL CANYON GREENWAY | LAURELGROVE PEDESTRIAN BRIDGE
